Date,Year,District,Season,Rainfall,TMax,TMin
2000-06-01,2000,Bankura,Pre-Monsoon,1826.55,35.55,21.16
2000-06-01,2000,Bankura,Post-Monsoon,917.4,32.37,21.16
2000-06-01,2000,Birbhum,Pre-Monsoon,1007.84,31.51,20.18
2000-06-01,2000,Birbhum,Post-Monsoon,1539.02,34.53,15.59
2000-06-01,2000,Jalpaiguri,Pre-Monsoon,1249.54,34.39,21.54
2000-06-01,2000,Jalpaiguri,Post-Monsoon,1827.79,34.88,17.12
2000-06-01,2000,Jhargram,Pre-Monsoon,884.68,34.64,15.34
2000-06-01,2000,Jhargram,Post-Monsoon,1502.93,39.1,22.48
2000-06-01,2000,Murshidabad,Pre-Monsoon,1265.8,34.65,20.96
2000-06-01,2000,Murshidabad,Post-Monsoon,1454.74,39.12,20.02
2000-06-01,2000,Purba Bardhaman,Pre-Monsoon,1953.43,38.58,17.55
2000-06-01,2000,Purba Bardhaman,Post-Monsoon,883.23,26.51,15.24
2000-06-01,2000,Purulia,Pre-Monsoon,913.33,35.25,15.93
2000-06-01,2000,Purulia,Post-Monsoon,1182.77,37.67,15.3
2000-06-01,2000,West Medinipur,Pre-Monsoon,1777.36,29.23,16.54
2000-06-01,2000,West Medinipur,Post-Monsoon,1636.08,34.43,26.41
2001-06-01,2001,Bankura,Pre-Monsoon,1682.09,37.05,18.67
2001-06-01,2001,Bankura,Post-Monsoon,1012.93,36.26,25.49
2001-06-01,2001,Birbhum,Pre-Monsoon,1988.61,31.19,19.84
2001-06-01,2001,Birbhum,Post-Monsoon,1731.7,30.11,27.1
2001-06-01,2001,Jalpaiguri,Pre-Monsoon,1830.1,31.43,24.76
2001-06-01,2001,Jalpaiguri,Post-Monsoon,1705.45,26.55,26.73
2001-06-01,2001,Jhargram,Pre-Monsoon,1406.3,37.4,19.16
2001-06-01,2001,Jhargram,Post-Monsoon,1874.63,30.84,15.14
2001-06-01,2001,Murshidabad,Pre-Monsoon,1886.46,26.37,19.15
2001-06-01,2001,Murshidabad,Post-Monsoon,1940.07,39.26,22.45
2001-06-01,2001,Purba Bardhaman,Pre-Monsoon,1558.2,31.73,18.81
2001-06-01,2001,Purba Bardhaman,Post-Monsoon,1194.4,35.09,24.78
2001-06-01,2001,Purulia,Pre-Monsoon,1749.89,36.84,16.19
2001-06-01,2001,Purulia,Post-Monsoon,1393.3,25.86,22.14
2001-06-01,2001,West Medinipur,Pre-Monsoon,1329.84,38.32,19.56
2001-06-01,2001,West Medinipur,Post-Monsoon,940.48,27.14,24.9
2002-06-01,2002,Bankura,Pre-Monsoon,1541.86,26.52,16.09
2002-06-01,2002,Bankura,Post-Monsoon,1641.16,26.09,25.68
2002-06-01,2002,Birbhum,Pre-Monsoon,1647.49,26.22,16.1
2002-06-01,2002,Birbhum,Post-Monsoon,1983.97,30.61,19.82
2002-06-01,2002,Jalpaiguri,Pre-Monsoon,1775.36,39.21,27.82
2002-06-01,2002,Jalpaiguri,Post-Monsoon,1704.05,30.64,16.09
2002-06-01,2002,Jhargram,Pre-Monsoon,1732.58,33.38,20.51
2002-06-01,2002,Jhargram,Post-Monsoon,1887.63,26.67,21.4
2002-06-01,2002,Murshidabad,Pre-Monsoon,813.62,32.03,15.73
2002-06-01,2002,Murshidabad,Post-Monsoon,942.58,26.76,23.44
2002-06-01,2002,Purba Bardhaman,Pre-Monsoon,1695.25,33.75,27.51
