Date,Year,District,Season,MeanDepth,Rainfall,TMax,TMin,Cropland,BuiltUp,Forest,WaterBody
2000-06-01,2000,Bankura,Pre-Monsoon,10.62,1826.55,35.55,21.16,49.71,15.64,20.38,10.57
2000-06-01,2000,Bankura,Post-Monsoon,19.26,917.40,32.37,21.16,49.71,15.64,20.38,10.57
2000-06-01,2000,Birbhum,Pre-Monsoon,15.98,1007.84,31.51,20.18,59.51,6.00,36.01,13.68
2000-06-01,2000,Birbhum,Post-Monsoon,13.98,1539.02,34.53,15.59,59.51,6.00,36.01,13.68
2000-06-01,2000,Jalpaiguri,Pre-Monsoon,7.34,1249.54,34.39,21.54,37.54,23.13,24.60,18.10
2000-06-01,2000,Jalpaiguri,Post-Monsoon,7.34,1827.79,34.88,17.12,37.54,23.13,24.60,18.10
2000-06-01,2000,Jhargram,Pre-Monsoon,5.87,884.68,34.64,15.34,56.03,15.54,18.30,13.89
2000-06-01,2000,Jhargram,Post-Monsoon,17.99,1502.93,39.10,22.48,56.03,15.54,18.30,13.89
2000-06-01,2000,Murshidabad,Pre-Monsoon,14.02,1265.80,34.65,20.96,56.49,10.27,28.69,14.47
2000-06-01,2000,Murshidabad,Post-Monsoon,15.62,1454.74,39.12,20.02,56.49,10.27,28.69,14.47
2000-06-01,2000,"Purba Bardhaman",Pre-Monsoon,5.31,1953.43,38.58,17.55,49.32,8.29,31.47,18.64
2000-06-01,2000,"Purba Bardhaman",Post-Monsoon,19.55,883.23,26.51,15.24,49.32,8.29,31.47,18.64
2000-06-01,2000,Purulia,Pre-Monsoon,17.49,913.33,35.25,15.93,27.19,10.94,39.14,7.71
2000-06-01,2000,Purulia,Post-Monsoon,8.19,1182.77,37.67,15.30,27.19,10.94,39.14,7.71
2000-06-01,2000,"West Medinipur",Pre-Monsoon,7.73,1777.36,29.23,16.54,54.18,17.31,17.42,18.06
2000-06-01,2000,"West Medinipur",Post-Monsoon,7.75,1636.08,34.43,26.41,54.18,17.31,17.42,18.06
2001-06-01,2001,Bankura,Pre-Monsoon,9.56,1682.09,37.05,18.67,37.81,17.87,20.78,13.89
2001-06-01,2001,Bankura,Post-Monsoon,12.87,1012.93,36.26,25.49,37.81,17.87,20.78,13.89
2001-06-01,2001,Birbhum,Pre-Monsoon,11.48,1988.61,31.19,19.84,26.54,14.78,39.08,8.87
2001-06-01,2001,Birbhum,Post-Monsoon,9.37,1731.70,30.11,27.10,26.54,14.78,39.08,8.87
2001-06-01,2001,Jalpaiguri,Pre-Monsoon,14.18,1830.10,31.43,24.76,46.27,13.13,33.20,6.96
2001-06-01,2001,Jalpaiguri,Post-Monsoon,7.09,1705.45,26.55,26.73,46.27,13.13,33.20,6.96
2001-06-01,2001,Jhargram,Pre-Monsoon,9.38,1406.30,37.40,19.16,58.79,16.34,17.08,6.10
2001-06-01,2001,Jhargram,Post-Monsoon,10.50,1874.63,30.84,15.14,58.79,16.34,17.08,6.10
2001-06-01,2001,Murshidabad,Pre-Monsoon,11.84,1886.46,26.37,19.15,26.79,17.99,20.11,17.43
2001-06-01,2001,Murshidabad,Post-Monsoon,16.78,1940.07,39.26,22.45,26.79,17.99,20.11,17.43
2001-06-01,2001,"Purba Bardhaman",Pre-Monsoon,8.00,1558.20,31.73,18.81,37.24,11.22,28.51,15.60
2001-06-01,2001,"Purba Bardhaman",Post-Monsoon,12.71,1194.40,35.09,24.78,37.24,11.22,28.51,15.60
2001-06-01,2001,Purulia,Pre-Monsoon,13.89,1749.89,36.84,16.19,26.68,9.19,11.10,16.05
2001-06-01,2001,Purulia,Post-Monsoon,5.70,1393.30,25.86,22.14,26.68,9.19,11.10,16.05
2001-06-01,2001,"West Medinipur",Pre-Monsoon,14.11,1329.84,38.32,19.56,46.55,16.87,35.33,17.09
2001-06-01,2001,"West Medinipur",Post-Monsoon,7.56,940.48,27.14,24.90,46.55,16.87,35.33,17.09
2002-06-01,2002,Bankura,Pre-Monsoon,5.98,1541.86,26.52,16.09,43.41,26.71,16.18,6.68
2002-06-01,2002,Bankura,Post-Monsoon,19.23,1641.16,26.09,25.68,43.41,26.71,16.18,6.68
2002-06-01,2002,Birbhum,Pre-Monsoon,19.48,1647.49,26.22,16.10,30.79,6.43,25.94,19.05
2002-06-01,2002,Birbhum,Post-Monsoon,17.13,1983.97,30.61,19.82,30.79,6.43,25.94,19.05
2002-06-01,2002,Jalpaiguri,Pre-Monsoon,9.57,1775.36,39.21,27.82,21.57,8.05,23.57,19.01
2002-06-01,2002,Jalpaiguri,Post-Monsoon,6.47,1704.05,30.64,16.09,21.57,8.05,23.57,19.01
2002-06-01,2002,Jhargram,Pre-Monsoon,15.26,1732.58,33.38,20.51,32.65,17.68,11.25,7.23
2002-06-01,2002,Jhargram,Post-Monsoon,11.60,1887.63,26.67,21.40,32.65,17.68,11.25,7.23
2002-06-01,2002,Murshidabad,Pre-Monsoon,6.83,813.62,32.03,15.73,59.47,29.13,10.15,19.28
2002-06-01,2002,Murshidabad,Post-Monsoon,12.43,942.58,26.76,23.44,59.47,29.13,10.15,19.28
