Date,Year,District,Season,MeanDepth
2000-06-01,2000,Bankura,Pre-Monsoon,10.62
2000-06-01,2000,Bankura,Post-Monsoon,19.26
2000-06-01,2000,Birbhum,Pre-Monsoon,15.98
2000-06-01,2000,Birbhum,Post-Monsoon,13.98
2000-06-01,2000,Jalpaiguri,Pre-Monsoon,7.34
2000-06-01,2000,Jalpaiguri,Post-Monsoon,7.34
2000-06-01,2000,Jhargram,Pre-Monsoon,5.87
2000-06-01,2000,Jhargram,Post-Monsoon,17.99
2000-06-01,2000,Murshidabad,Pre-Monsoon,14.02
2000-06-01,2000,Murshidabad,Post-Monsoon,15.62
2000-06-01,2000,Purba Bardhaman,Pre-Monsoon,5.31
2000-06-01,2000,Purba Bardhaman,Post-Monsoon,19.55
2000-06-01,2000,Purulia,Pre-Monsoon,17.49
2000-06-01,2000,Purulia,Post-Monsoon,8.19
2000-06-01,2000,West Medinipur,Pre-Monsoon,7.73
2000-06-01,2000,West Medinipur,Post-Monsoon,7.75
2001-06-01,2001,Bankura,Pre-Monsoon,9.56
2001-06-01,2001,Bankura,Post-Monsoon,12.87
2001-06-01,2001,Birbhum,Pre-Monsoon,11.48
2001-06-01,2001,Birbhum,Post-Monsoon,9.37
2001-06-01,2001,Jalpaiguri,Pre-Monsoon,14.18
2001-06-01,2001,Jalpaiguri,Post-Monsoon,7.09
2001-06-01,2001,Jhargram,Pre-Monsoon,9.38
2001-06-01,2001,Jhargram,Post-Monsoon,10.5
2001-06-01,2001,Murshidabad,Pre-Monsoon,11.84
2001-06-01,2001,Murshidabad,Post-Monsoon,16.78
2001-06-01,2001,Purba Bardhaman,Pre-Monsoon,8.0
2001-06-01,2001,Purba Bardhaman,Post-Monsoon,12.71
2001-06-01,2001,Purulia,Pre-Monsoon,13.89
2001-06-01,2001,Purulia,Post-Monsoon,5.7
2001-06-01,2001,West Medinipur,Pre-Monsoon,14.11
2001-06-01,2001,West Medinipur,Post-Monsoon,7.56
2002-06-01,2002,Bankura,Pre-Monsoon,5.98
2002-06-01,2002,Bankura,Post-Monsoon,19.23
2002-06-01,2002,Birbhum,Pre-Monsoon,19.48
2002-06-01,2002,Birbhum,Post-Monsoon,17.13
2002-06-01,2002,Jalpaiguri,Pre-Monsoon,9.57
2002-06-01,2002,Jalpaiguri,Post-Monsoon,6.47
2002-06-01,2002,Jhargram,Pre-Monsoon,15.26
2002-06-01,2002,Jhargram,Post-Monsoon,11.6
2002-06-01,2002,Murshidabad,Pre-Monsoon,6.83
2002-06-01,2002,Murshidabad,Post-Monsoon,12.43
2002-06-01,2002,Purba Bardhaman,Pre-Monsoon,5.52
2002-06-01,2002,Purba Bardhaman,Post-Monsoon,18.64
2002-06-01,2002,Purulia,Pre-Monsoon,8.88
2002-06-01,2002,Purulia,Post-Monsoon,14.94
2002-06-01,2002,West Medinipur,Pre-Monsoon,9.68
2002-06-01,2002,West Medinipur,Post-Monsoon,12.8
2003-06-01,2003,Bankura,Pre-Monsoon,13.2
2003-06-01,2003,Bankura,Post-Monsoon,7.77
2003-06-01,2003,Birbhum,Pre-Monsoon,19.54
