District,Year,Cropland,BuiltUp,Forest,WaterBody
Bankura,2000,49.71,15.64,20.38,10.57
Birbhum,2000,59.51,6.0,36.01,13.68
Jalpaiguri,2000,37.54,23.13,24.6,18.1
Jhargram,2000,56.03,15.54,18.3,13.89
Murshidabad,2000,56.49,10.27,28.69,14.47
Purba Bardhaman,2000,49.32,8.29,31.47,18.64
Purulia,2000,27.19,10.94,39.14,7.71
West Medinipur,2000,54.18,17.31,17.42,18.06
Bankura,2001,37.81,17.87,20.78,13.89
Birbhum,2001,26.54,14.78,39.08,8.87
Jalpaiguri,2001,46.27,13.13,33.2,6.96
Jhargram,2001,58.79,16.34,17.08,6.1
Murshidabad,2001,26.79,17.99,20.11,17.43
Purba Bardhaman,2001,37.24,11.22,28.51,15.6
Purulia,2001,26.68,9.19,11.1,16.05
West Medinipur,2001,46.55,16.87,35.33,17.09
Bankura,2002,43.41,26.71,16.18,6.68
Birbhum,2002,30.79,6.43,25.94,19.05
Jalpaiguri,2002,21.57,8.05,23.57,19.01
Jhargram,2002,32.65,17.68,11.25,7.23
Murshidabad,2002,59.47,29.13,10.15,19.28
Purba Bardhaman,2002,45.56,26.7,23.64,12.73
Purulia,2002,39.55,21.67,14.19,5.45
West Medinipur,2002,32.32,22.62,16.06,15.1
Bankura,2003,58.8,7.35,30.18,11.66
Birbhum,2003,54.73,9.43,30.78,17.57
Jalpaiguri,2003,57.78,22.08,24.92,14.27
Jhargram,2003,54.76,19.27,10.91,18.96
Murshidabad,2003,47.58,21.91,16.47,14.88
Purba Bardhaman,2003,35.75,21.28,13.2,14.87
Purulia,2003,59.98,6.21,39.32,11.1
West Medinipur,2003,54.83,24.56,27.01,16.08
Bankura,2004,55.14,15.1,19.81,15.01
Birbhum,2004,52.31,24.06,33.93,11.53
Jalpaiguri,2004,52.71,8.01,26.33,5.09
Jhargram,2004,32.98,14.16,21.89,15.43
Murshidabad,2004,35.54,16.22,17.13,10.6
Purba Bardhaman,2004,29.09,6.83,28.1,15.02
Purulia,2004,44.78,16.59,21.39,17.95
West Medinipur,2004,40.76,16.98,10.77,10.12
Bankura,2005,35.21,14.97,27.41,13.0
Birbhum,2005,44.32,24.12,34.39,15.77
Jalpaiguri,2005,58.22,5.46,15.87,5.11
Jhargram,2005,45.9,27.45,17.3,18.91
Murshidabad,2005,22.41,28.36,20.55,6.52
Purba Bardhaman,2005,39.43,11.42,18.55,9.61
Purulia,2005,52.12,18.48,19.34,14.16
West Medinipur,2005,48.65,11.82,22.41,6.83
Bankura,2006,27.25,22.03,15.44,12.88
Birbhum,2006,48.36,7.67,27.02,8.85
Jalpaiguri,2006,58.52,17.09,34.18,13.25
Jhargram,2006,21.74,20.83,38.54,14.02
Murshidabad,2006,52.77,27.11,16.84,8.18
Purba Bardhaman,2006,44.44,15.28,35.2,18.5
Purulia,2006,34.14,10.92,33.42,9.12
West Medinipur,2006,52.9,15.59,30.03,6.43
Bankura,2007,44.95,16.29,27.6,7.52
Birbhum,2007,49.47,26.57,16.5,6.44
Jalpaiguri,2007,20.95,21.05,28.21,13.2
Jhargram,2007,29.28,14.77,27.83,12.45
Murshidabad,2007,59.51,8.41,30.85,11.06
Purba Bardhaman,2007,37.13,22.94,30.77,19.87
Purulia,2007,25.14,7.6,31.73,13.68
West Medinipur,2007,30.97,6.99,12.57,18.41
Bankura,2008,27.67,13.08,16.8,10.32
Birbhum,2008,22.78,17.98,12.03,17.01
Jalpaiguri,2008,29.35,18.5,36.4,14.76
Jhargram,2008,41.32,13.11,19.99,15.04
Murshidabad,2008,59.77,21.55,26.73,15.96
Purba Bardhaman,2008,38.61,6.5,26.87,19.36
Purulia,2008,27.01,22.25,16.03,13.04
West Medinipur,2008,23.87,16.26,32.68,10.21
Bankura,2009,46.6,24.89,37.82,8.52
Birbhum,2009,35.97,8.81,39.77,18.91
Jalpaiguri,2009,41.6,26.05,25.63,14.35
